player_name,player_link,player_type,cost_lakhs,cost_dollars,born_date,player_age,batting_style,bowling_style,playing_role
Navdeep Saini,https://www.espncricinfo.com/ci/content/player/700167.html,Not available,260,317,"November 23, 1992, Karnal, Haryana",30y 178d,Right hand Bat,Right arm Fast,Bowler
Adam Zampa,https://www.espncricinfo.com/ci/content/player/379504.html,Not available,150,182,"March 31, 1992, Shellharbour, New South Wales",31y 50d,Right hand Bat,Legbreak Googly,Bowler
Joe Root,https://www.espncricinfo.com/ci/content/player/303669.html,Not available,100,121,"December 30, 1990, Sheffield, Yorkshire",32y 141d,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
Obed McCoy,https://www.espncricinfo.com/ci/content/player/906783.html,Not available,75,91,"January 04, 1997",26y 136d,Left hand Bat,Left arm Fast medium,Bowler
Donovan Ferreira,https://www.espncricinfo.com/ci/content/player/698315.html,Not available,50,60,"July 21, 1998, Pretoria",24y 303d,Right hand Bat,Wicketkeeper,Allrounder
KM Asif,https://www.espncricinfo.com/ci/content/player/1083030.html,Not available,30,36,"July 24, 1993, Edavanna,Malappuram",29y 300d,Right hand Bat,Right arm Medium,Bowler
KC Cariappa,https://www.espncricinfo.com/ci/content/player/777537.html,Not available,30,36,"April 13, 1994, Bangalore, Karnataka",29y 37d,Right hand Bat,Legbreak,Bowler
Kuldeep Sen,https://www.espncricinfo.com/ci/content/player/1163695.html,Not available,20,24,"October 22, 1996, Rewa, Madhya Pradesh",26y 210d,Right hand Bat,Right arm Fast,Bowler
Dhruv Jurel,https://www.espncricinfo.com/ci/content/player/1175488.html,Not available,20,24,"January 21, 2001, Agra, Uttar Pradesh",22y 119d,Right hand Bat,Wicketkeeper Batter
Kuldip Yadav,https://www.espncricinfo.com/ci/content/player/1206495.html,Not available,20,24,"October 15, 1996",26y 217d,Left hand Bat,Left arm Fast medium,Bowler
Abdul Basith,https://www.espncricinfo.com/ci/content/player/1287067.html,Not available,20,24,"October 09, 1998, Ernakulam, Kerala",24y 223d,Right hand Bat,Right arm Offbreak,Allrounder
Kunal Singh Rathore,https://www.espncricinfo.com/ci/content/player/1339031.html,Not available,20,24,"October 09, 2002, Kota, Rajasthan",20y 223d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Murugan Ashwin,https://www.espncricinfo.com/ci/content/player/528067.html,Not available,20,24,"September 08, 1990, Chennai, Tamil Nadu",32y 254d,Right hand Bat,Legbreak Googly,Bowler
Akash Vashisht,https://www.espncricinfo.com/ci/content/player/722597.html,Not available,20,24,"December 17, 1994, Kangra, Himachal Pradesh",28y 154d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Cameron Green,https://www.espncricinfo.com/ci/content/player/1076713.html,Not available,1750,2134,"June 03, 1999",23y 351d,Right hand Bat,Right arm Fast medium,Batting Allrounder
Rohit Sharma,https://www.espncricinfo.com/ci/content/player/34102.html,Not available,1600,1951,"April 30, 1987, Bansod, Nagpur, Maharashtra",36y 20d,Right hand Bat,Right arm Offbreak,Top order Batter
Ishan Kishan,https://www.espncricinfo.com/ci/content/player/720471.html,Not available,1525,1859,"July 18, 1998, Patna, Bihar",24y 306d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Jasprit Bumrah,https://www.espncricinfo.com/ci/content/player/625383.html,Not available,1200,1463,"December 06, 1993, Ahmedabad",29y 165d,Right hand Bat,Right arm Fast,Bowler
Tim David,https://www.espncricinfo.com/ci/content/player/892749.html,Not available,825,1006,"March 16, 1996, Singapore",27y 65d,Right hand Bat,Right arm Offbreak,Middle order Batter
